time	channel1	channel2	channel3	channel4	channel5	channel6	channel7	channel8	class
2	-1e-05	0	5e-05	8e-05	-2e-05	0	0	-1e-05	0
5	-1e-05	-3e-05	-0.0001	-0.0002	-1e-05	-4e-05	-1e-05	0	0
7	-1e-05	-3e-05	-0.0001	-0.0002	-1e-05	-4e-05	-1e-05	0	0
8	-1e-05	-3e-05	-0.0001	-0.0002	-1e-05	-4e-05	-1e-05	0	0
9	-1e-05	-3e-05	-0.0001	-0.0002	-1e-05	-4e-05	-1e-05	0	0
10	-1e-05	-3e-05	-0.0001	-0.0002	-1e-05	-4e-05	-1e-05	0	0
11	-1e-05	-3e-05	-0.0001	-0.0002	-1e-05	-4e-05	-1e-05	0	0
12	-1e-05	-3e-05	-0.0001	-0.0002	-1e-05	-4e-05	-1e-05	0	0
13	-1e-05	-3e-05	-0.0001	-0.0002	-1e-05	-4e-05	-1e-05	0	0
14	-1e-05	-3e-05	-0.0001	-0.0002	-1e-05	-4e-05	-1e-05	0	0
15	-1e-05	-3e-05	-0.0001	-0.0002	-1e-05	-4e-05	-1e-05	0	0
16	-1e-05	-3e-05	-0.0001	-0.0002	-1e-05	-4e-05	-1e-05	0	0
17	-1e-05	-3e-05	-0.0001	-0.0002	-1e-05	-4e-05	-1e-05	0	0
18	-1e-05	-3e-05	-0.0001	-0.0002	-1e-05	-4e-05	-1e-05	0	0
19	1e-05	0	0	6e-05	0	0	-1e-05	-2e-05	0
20	-1e-05	-1e-05	6e-05	6e-05	1e-05	-3e-05	-2e-05	-3e-05	0
21	-1e-05	-2e-05	-3e-05	-7e-05	0	-4e-05	-1e-05	-1e-05	0
22	-1e-05	-2e-05	-3e-05	-7e-05	0	-4e-05	-1e-05	-1e-05	0
23	-1e-05	-2e-05	-3e-05	-7e-05	0	-4e-05	-1e-05	-1e-05	0
24	-1e-05	-2e-05	-3e-05	-7e-05	0	-4e-05	-1e-05	-1e-05	0
25	-1e-05	-2e-05	-3e-05	-7e-05	0	-4e-05	-1e-05	-1e-05	0
26	-1e-05	-2e-05	-3e-05	-7e-05	0	-4e-05	-1e-05	-1e-05	0
27	-1e-05	-2e-05	-3e-05	-7e-05	0	-4e-05	-1e-05	-1e-05	0
28	-1e-05	-2e-05	-3e-05	-7e-05	0	-4e-05	-1e-05	-1e-05	0
29	-1e-05	-2e-05	-3e-05	-7e-05	0	-4e-05	-1e-05	-1e-05	0
30	-1e-05	-2e-05	-3e-05	-7e-05	0	-4e-05	-1e-05	-1e-05	0
31	-1e-05	-2e-05	-3e-05	-7e-05	0	-4e-05	-1e-05	-1e-05	0
32	-1e-05	-2e-05	-3e-05	-7e-05	0	-4e-05	-1e-05	-1e-05	0
33	-1e-05	-2e-05	-3e-05	-7e-05	0	-4e-05	-1e-05	-1e-05	0
34	0	2e-05	4e-05	0.00014	-1e-05	2e-05	0	0	0
35	0	2e-05	4e-05	0.00014	-1e-05	2e-05	0	0	0
44	0	-1e-05	-1e-05	0.00011	5e-05	-1e-05	-1e-05	2e-05	0
47	0	-1e-05	-1e-05	0.00011	5e-05	-1e-05	-1e-05	2e-05	0
48	0	-1e-05	-1e-05	0.00011	5e-05	-1e-05	-1e-05	2e-05	0
49	0	-1e-05	-1e-05	0.00011	5e-05	-1e-05	-1e-05	2e-05	0
50	0	-1e-05	-1e-05	0.00011	5e-05	-1e-05	-1e-05	2e-05	0
51	0	-1e-05	-1e-05	0.00011	5e-05	-1e-05	-1e-05	2e-05	0
52	0	-1e-05	-1e-05	0.00011	5e-05	-1e-05	-1e-05	2e-05	0
53	0	-1e-05	-1e-05	0.00011	5e-05	-1e-05	-1e-05	2e-05	0
54	0	-1e-05	-1e-05	0.00011	5e-05	-1e-05	-1e-05	2e-05	0
55	0	-1e-05	-1e-05	0.00011	5e-05	-1e-05	-1e-05	2e-05	0
56	0	-1e-05	-1e-05	0.00011	5e-05	-1e-05	-1e-05	2e-05	0
57	-3e-05	0	6e-05	0.00013	4e-05	0	1e-05	2e-05	0
58	-1e-05	-1e-05	2e-05	1e-05	0	-1e-05	-1e-05	1e-05	0
59	-1e-05	-1e-05	2e-05	1e-05	0	-1e-05	-1e-05	1e-05	0
60	-1e-05	-1e-05	2e-05	1e-05	0	-1e-05	-1e-05	1e-05	0
61	-1e-05	-1e-05	2e-05	1e-05	0	-1e-05	-1e-05	1e-05	0
62	-1e-05	-1e-05	2e-05	1e-05	0	-1e-05	-1e-05	1e-05	0
63	-1e-05	-1e-05	2e-05	1e-05	0	-1e-05	-1e-05	1e-05	0
64	-1e-05	-1e-05	2e-05	1e-05	0	-1e-05	-1e-05	1e-05	0
65	-1e-05	-1e-05	2e-05	1e-05	0	-1e-05	-1e-05	1e-05	0
66	-1e-05	-1e-05	2e-05	1e-05	0	-1e-05	-1e-05	1e-05	0
67	-1e-05	-1e-05	2e-05	1e-05	0	-1e-05	-1e-05	1e-05	0
68	-1e-05	-1e-05	2e-05	1e-05	0	-1e-05	-1e-05	1e-05	0
69	-1e-05	-1e-05	2e-05	1e-05	0	-1e-05	-1e-05	1e-05	0
70	-1e-05	-1e-05	2e-05	1e-05	0	-1e-05	-1e-05	1e-05	0
71	-1e-05	-1e-05	2e-05	1e-05	0	-1e-05	-1e-05	1e-05	0
72	-1e-05	-1e-05	2e-05	1e-05	0	-1e-05	-1e-05	1e-05	0
73	-1e-05	-1e-05	2e-05	1e-05	0	-1e-05	-1e-05	1e-05	0
74	-1e-05	-1e-05	2e-05	1e-05	0	-1e-05	-1e-05	1e-05	0
75	-1e-05	-1e-05	2e-05	1e-05	0	-1e-05	-1e-05	1e-05	0
76	-1e-05	-1e-05	2e-05	1e-05	0	-1e-05	-1e-05	1e-05	0
77	-1e-05	-1e-05	2e-05	1e-05	0	-1e-05	-1e-05	1e-05	0
78	-1e-05	-1e-05	2e-05	1e-05	0	-1e-05	-1e-05	1e-05	0
79	0	1e-05	0	-0.00011	-2e-05	-2e-05	0	-3e-05	0
80	0	1e-05	0	-0.00011	-2e-05	-2e-05	0	-3e-05	0
81	0	-3e-05	-6e-05	-0.00013	-4e-05	0	-1e-05	0	0
82	0	-3e-05	-6e-05	-0.00013	-4e-05	0	-1e-05	0	0
83	0	-3e-05	-6e-05	-0.00013	-4e-05	0	-1e-05	0	0
84	0	-3e-05	-6e-05	-0.00013	-4e-05	0	-1e-05	0	0
85	0	-3e-05	-6e-05	-0.00013	-4e-05	0	-1e-05	0	0
86	0	-3e-05	-6e-05	-0.00013	-4e-05	0	-1e-05	0	0
89	0	-3e-05	-6e-05	-0.00013	-4e-05	0	-1e-05	0	0
90	0	-3e-05	-6e-05	-0.00013	-4e-05	0	-1e-05	0	0
91	0	-3e-05	-6e-05	-0.00013	-4e-05	0	-1e-05	0	0
92	0	-3e-05	-6e-05	-0.00013	-4e-05	0	-1e-05	0	0
93	0	-3e-05	-6e-05	-0.00013	-4e-05	0	-1e-05	0	0
94	-2e-05	-1e-05	-1e-05	-3e-05	-2e-05	-3e-05	-1e-05	-1e-05	0
95	-2e-05	-1e-05	-1e-05	-3e-05	-2e-05	-3e-05	-1e-05	-1e-05	0
96	-2e-05	-1e-05	-1e-05	-3e-05	-2e-05	-3e-05	-1e-05	-1e-05	0
97	-2e-05	-1e-05	-1e-05	-3e-05	-2e-05	-3e-05	-1e-05	-1e-05	0
98	-2e-05	-1e-05	-1e-05	-3e-05	-2e-05	-3e-05	-1e-05	-1e-05	0
99	-2e-05	-1e-05	-1e-05	-3e-05	-2e-05	-3e-05	-1e-05	-1e-05	0
100	-2e-05	-1e-05	-1e-05	-3e-05	-2e-05	-3e-05	-1e-05	-1e-05	0
101	-2e-05	-1e-05	-1e-05	-3e-05	-2e-05	-3e-05	-1e-05	-1e-05	0
102	-2e-05	-3e-05	-6e-05	-0.00013	-2e-05	-2e-05	-1e-05	-1e-05	0
103	-2e-05	-3e-05	-6e-05	-0.00013	-2e-05	-2e-05	-1e-05	-1e-05	0
104	-2e-05	-3e-05	-6e-05	-0.00013	-2e-05	-2e-05	-1e-05	-1e-05	0
105	-2e-05	-3e-05	-6e-05	-0.00013	-2e-05	-2e-05	-1e-05	-1e-05	0
106	-2e-05	-3e-05	-6e-05	-0.00013	-2e-05	-2e-05	-1e-05	-1e-05	0
107	-2e-05	-3e-05	-6e-05	-0.00013	-2e-05	-2e-05	-1e-05	-1e-05	0
108	-2e-05	-3e-05	-6e-05	-0.00013	-2e-05	-2e-05	-1e-05	-1e-05	0
109	-2e-05	-3e-05	-6e-05	-0.00013	-2e-05	-2e-05	-1e-05	-1e-05	0
110	-2e-05	-3e-05	-6e-05	-0.00013	-2e-05	-2e-05	-1e-05	-1e-05	0
111	-2e-05	-3e-05	-6e-05	-0.00013	-2e-05	-2e-05	-1e-05	-1e-05	0
112	-2e-05	-3e-05	-6e-05	-0.00013	-2e-05	-2e-05	-1e-05	-1e-05	0
113	-2e-05	-3e-05	-6e-05	-0.00013	-2e-05	-2e-05	-1e-05	-1e-05	0
114	-2e-05	-3e-05	-6e-05	-0.00013	-2e-05	-2e-05	-1e-05	-1e-05	0
115	-2e-05	-3e-05	-6e-05	-0.00013	-2e-05	-2e-05	-1e-05	-1e-05	0
116	-2e-05	-3e-05	-6e-05	-0.00013	-2e-05	-2e-05	-1e-05	-1e-05	0
117	-1e-05	0	3e-05	5e-05	0	-3e-05	0	0	0
118	-1e-05	0	3e-05	5e-05	0	-3e-05	0	0	0
119	-3e-05	-2e-05	-7e-05	-0.00016	-2e-05	-2e-05	-1e-05	0	0
120	-3e-05	-2e-05	-7e-05	-0.00016	-2e-05	-2e-05	-1e-05	0	0
121	-3e-05	-2e-05	-7e-05	-0.00016	-2e-05	-2e-05	-1e-05	0	0
122	-3e-05	-2e-05	-7e-05	-0.00016	-2e-05	-2e-05	-1e-05	0	0
123	-3e-05	-2e-05	-7e-05	-0.00016	-2e-05	-2e-05	-1e-05	0	0
124	-3e-05	-2e-05	-7e-05	-0.00016	-2e-05	-2e-05	-1e-05	0	0
125	-3e-05	-2e-05	-7e-05	-0.00016	-2e-05	-2e-05	-1e-05	0	0
126	-3e-05	-2e-05	-7e-05	-0.00016	-2e-05	-2e-05	-1e-05	0	0
127	-3e-05	-2e-05	-7e-05	-0.00016	-2e-05	-2e-05	-1e-05	0	0
128	-3e-05	-2e-05	-7e-05	-0.00016	-2e-05	-2e-05	-1e-05	0	0
129	-3e-05	-2e-05	-7e-05	-0.00016	-2e-05	-2e-05	-1e-05	0	0
130	-3e-05	-2e-05	-7e-05	-0.00016	-2e-05	-2e-05	-1e-05	0	0
131	-3e-05	-2e-05	-7e-05	-0.00016	-2e-05	-2e-05	-1e-05	0	0
132	-3e-05	-2e-05	-7e-05	-0.00016	-2e-05	-2e-05	-1e-05	0	0
133	-3e-05	-2e-05	-7e-05	-0.00016	-2e-05	-2e-05	-1e-05	0	0
134	-3e-05	-2e-05	-7e-05	-0.00016	-2e-05	-2e-05	-1e-05	0	0
135	-3e-05	-2e-05	-7e-05	-0.00016	-2e-05	-2e-05	-1e-05	0	0
