time	channel1	channel2	channel3	channel4	channel5	channel6	channel7	channel8	class
1	-1e-05	-2e-05	-1e-05	-1e-05	-3e-05	-3e-05	0	-1e-05	0
5	-1e-05	-2e-05	-1e-05	-1e-05	-3e-05	-3e-05	0	-1e-05	0
6	-1e-05	-2e-05	-1e-05	-1e-05	-3e-05	-3e-05	0	-1e-05	0
7	-1e-05	-2e-05	-1e-05	-1e-05	-3e-05	-3e-05	0	-1e-05	0
8	-1e-05	-2e-05	-1e-05	-1e-05	-3e-05	-3e-05	0	-1e-05	0
9	-1e-05	-2e-05	-1e-05	-1e-05	-3e-05	-3e-05	0	-1e-05	0
10	-1e-05	-2e-05	-1e-05	-1e-05	-3e-05	-3e-05	0	-1e-05	0
11	-1e-05	-2e-05	-1e-05	-1e-05	-3e-05	-3e-05	0	-1e-05	0
12	-1e-05	-2e-05	-1e-05	-1e-05	-3e-05	-3e-05	0	-1e-05	0
13	-1e-05	-2e-05	-1e-05	-1e-05	-3e-05	-3e-05	0	-1e-05	0
14	-1e-05	-2e-05	-1e-05	-1e-05	-3e-05	-3e-05	0	-1e-05	0
15	-1e-05	-3e-05	-3e-05	-3e-05	-2e-05	-1e-05	-3e-05	-2e-05	0
16	-2e-05	-2e-05	-2e-05	-2e-05	-1e-05	-2e-05	0	-1e-05	0
17	-1e-05	1e-05	3e-05	1e-05	0	1e-05	-1e-05	-1e-05	0
18	-1e-05	1e-05	3e-05	1e-05	0	1e-05	-1e-05	-1e-05	0
19	-1e-05	1e-05	3e-05	1e-05	0	1e-05	-1e-05	-1e-05	0
20	-1e-05	1e-05	3e-05	1e-05	0	1e-05	-1e-05	-1e-05	0
21	-1e-05	1e-05	3e-05	1e-05	0	1e-05	-1e-05	-1e-05	0
22	-1e-05	1e-05	3e-05	1e-05	0	1e-05	-1e-05	-1e-05	0
23	-1e-05	1e-05	3e-05	1e-05	0	1e-05	-1e-05	-1e-05	0
24	-1e-05	1e-05	3e-05	1e-05	0	1e-05	-1e-05	-1e-05	0
25	-1e-05	1e-05	3e-05	1e-05	0	1e-05	-1e-05	-1e-05	0
26	-1e-05	1e-05	3e-05	1e-05	0	1e-05	-1e-05	-1e-05	0
27	-1e-05	1e-05	3e-05	1e-05	0	1e-05	-1e-05	-1e-05	0
28	-1e-05	1e-05	3e-05	1e-05	0	1e-05	-1e-05	-1e-05	0
29	-1e-05	1e-05	3e-05	1e-05	0	1e-05	-1e-05	-1e-05	0
30	-3e-05	-4e-05	-4e-05	-3e-05	0	-3e-05	0	0	0
31	-3e-05	-4e-05	-4e-05	-3e-05	0	-3e-05	0	0	0
33	-3e-05	-4e-05	-4e-05	-3e-05	0	-3e-05	0	0	0
34	-3e-05	-4e-05	-4e-05	-3e-05	0	-3e-05	0	0	0
35	-3e-05	-4e-05	-4e-05	-3e-05	0	-3e-05	0	0	0
44	0	-1e-05	-2e-05	-1e-05	-3e-05	0	-1e-05	-1e-05	0
46	0	-1e-05	-2e-05	-1e-05	-3e-05	0	-1e-05	-1e-05	0
47	0	-1e-05	-2e-05	-1e-05	-3e-05	0	-1e-05	-1e-05	0
48	0	-1e-05	-2e-05	-1e-05	-3e-05	0	-1e-05	-1e-05	0
49	0	-1e-05	-2e-05	-1e-05	-3e-05	0	-1e-05	-1e-05	0
50	0	-1e-05	-2e-05	-1e-05	-3e-05	0	-1e-05	-1e-05	0
51	0	-1e-05	-2e-05	-1e-05	-3e-05	0	-1e-05	-1e-05	0
52	0	-1e-05	-2e-05	-1e-05	-3e-05	0	-1e-05	-1e-05	0
53	0	-1e-05	-2e-05	-1e-05	-3e-05	0	-1e-05	-1e-05	0
54	-2e-05	0	5e-05	2e-05	-1e-05	2e-05	-1e-05	0	0
55	-2e-05	2e-05	2e-05	2e-05	1e-05	0	-3e-05	-2e-05	0
56	-2e-05	2e-05	2e-05	2e-05	1e-05	0	-3e-05	-2e-05	0
57	-2e-05	2e-05	2e-05	2e-05	1e-05	0	-3e-05	-2e-05	0
58	-2e-05	2e-05	2e-05	2e-05	1e-05	0	-3e-05	-2e-05	0
59	-2e-05	2e-05	2e-05	2e-05	1e-05	0	-3e-05	-2e-05	0
60	-2e-05	2e-05	2e-05	2e-05	1e-05	0	-3e-05	-2e-05	0
61	-2e-05	2e-05	2e-05	2e-05	1e-05	0	-3e-05	-2e-05	0
62	-2e-05	2e-05	2e-05	2e-05	1e-05	0	-3e-05	-2e-05	0
63	-2e-05	2e-05	2e-05	2e-05	1e-05	0	-3e-05	-2e-05	0
64	-2e-05	2e-05	2e-05	2e-05	1e-05	0	-3e-05	-2e-05	0
65	-2e-05	2e-05	2e-05	2e-05	1e-05	0	-3e-05	-2e-05	0
66	-2e-05	2e-05	2e-05	2e-05	1e-05	0	-3e-05	-2e-05	0
67	-2e-05	2e-05	2e-05	2e-05	1e-05	0	-3e-05	-2e-05	0
68	-2e-05	2e-05	2e-05	2e-05	1e-05	0	-3e-05	-2e-05	0
69	-2e-05	2e-05	2e-05	2e-05	1e-05	0	-3e-05	-2e-05	0
70	-2e-05	2e-05	2e-05	2e-05	1e-05	0	-3e-05	-2e-05	0
71	-2e-05	2e-05	2e-05	2e-05	1e-05	0	-3e-05	-2e-05	0
72	-2e-05	2e-05	2e-05	2e-05	1e-05	0	-3e-05	-2e-05	0
73	-2e-05	2e-05	2e-05	2e-05	1e-05	0	-3e-05	-2e-05	0
74	-2e-05	2e-05	2e-05	2e-05	1e-05	0	-3e-05	-2e-05	0
75	-3e-05	-5e-05	-7e-05	-6e-05	-5e-05	-4e-05	1e-05	-1e-05	0
76	-3e-05	-5e-05	-7e-05	-6e-05	-5e-05	-4e-05	1e-05	-1e-05	0
77	0	-4e-05	-1e-05	0	-1e-05	-2e-05	0	0	0
78	0	-4e-05	-1e-05	0	-1e-05	-2e-05	0	0	0
79	0	-4e-05	-1e-05	0	-1e-05	-2e-05	0	0	0
80	0	-4e-05	-1e-05	0	-1e-05	-2e-05	0	0	0
81	0	-4e-05	-1e-05	0	-1e-05	-2e-05	0	0	0
82	0	-4e-05	-1e-05	0	-1e-05	-2e-05	0	0	0
83	0	-4e-05	-1e-05	0	-1e-05	-2e-05	0	0	0
84	0	-4e-05	-1e-05	0	-1e-05	-2e-05	0	0	0
85	0	-4e-05	-1e-05	0	-1e-05	-2e-05	0	0	0
86	0	-4e-05	-1e-05	0	-1e-05	-2e-05	0	0	0
88	0	-4e-05	-1e-05	0	-1e-05	-2e-05	0	0	0
89	0	-4e-05	-1e-05	0	-1e-05	-2e-05	0	0	0
90	0	4e-05	7e-05	2e-05	-1e-05	1e-05	0	0	0
91	0	4e-05	7e-05	2e-05	-1e-05	1e-05	0	0	0
92	0	4e-05	7e-05	2e-05	-1e-05	1e-05	0	0	0
93	0	4e-05	7e-05	2e-05	-1e-05	1e-05	0	0	0
94	0	4e-05	7e-05	2e-05	-1e-05	1e-05	0	0	0
95	0	4e-05	7e-05	2e-05	-1e-05	1e-05	0	0	0
